2024-07-04 16:24:16,049  INFO [main] ReportLoger:28 - Unable to locate the element: //*[local-name='svg'][@height='25'], with the Exception: org.openqa.selenium.TimeoutException: Expected condition failed: waiting for visibility of element located by By.xpath: //*[local-name='svg'][@height='25'] (tried for 30 second(s) with 500 milliseconds interval)
Build info: version: '4.11.0', revision: '040bc5406b'
System info: os.name: 'Windows 10', os.arch: 'amd64', os.version: '10.0', java.version: '22.0.1'
Driver info: org.openqa.selenium.chrome.ChromeDriver
Capabilities {acceptInsecureCerts: false, browserName: chrome, browserVersion: 126.0.6478.127, chrome: {chromedriverVersion: 126.0.6478.126 (d36ace6122e..., userDataDir: C:\Users\Galaxy\AppData\Loc...}, fedcm:accounts: true, goog:chromeOptions: {debuggerAddress: localhost:56787}, networkConnectionEnabled: false, pageLoadStrategy: normal, platformName: windows, proxy: Proxy(), se:cdp: ws://localhost:56787/devtoo..., se:cdpVersion: 126.0.6478.127, setWindowRect: true, strictFileInteractability: false, timeouts: {implicit: 0, pageLoad: 300000, script: 30000}, unhandledPromptBehavior: dismiss and notify, webauthn:extension:credBlob: true, webauthn:extension:largeBlob: true, webauthn:extension:minPinLength: true, webauthn:extension:prf: true, webauthn:virtualAuthenticators: true}
Session ID: b3ab368334aa2cd27a41b85e6eb1251d
2024-07-05 18:46:40,004  INFO [main] Listener:60 - VerifySuccessfulLogin started!
2024-07-05 18:46:40,409  INFO [main] ReportLoger:28 - Cleared email text field
2024-07-05 18:46:40,629  INFO [main] ReportLoger:28 - Cleared password text field
2024-07-05 18:46:40,759  INFO [main] ReportLoger:28 - Landed on login page
2024-07-05 18:46:41,438  INFO [main] ReportLoger:28 - Entered valid email on email field
2024-07-05 18:46:41,771  INFO [main] ReportLoger:28 - Entered valid password on password field
2024-07-05 18:46:43,421  INFO [main] ReportLoger:28 - Landed on home page
2024-07-05 18:46:43,431  INFO [main] Listener:74 - VerifySuccessfulLogin passed!
2024-07-05 18:46:43,432  INFO [main] Listener:77 - methodName VerifySuccessfulLogin
2024-07-05 18:46:45,752  INFO [main] ReportLoger:28 - Clicked profile dropdown
2024-07-05 18:46:46,252  INFO [main] ReportLoger:28 - Clicked logout option
2024-07-05 19:02:04,343  INFO [main] Listener:60 - VerifySuccessfulLogin started!
2024-07-05 19:02:04,649  INFO [main] ReportLoger:28 - Cleared email text field
2024-07-05 19:02:04,877  INFO [main] ReportLoger:28 - Cleared password text field
2024-07-05 19:02:05,017  INFO [main] ReportLoger:28 - Landed on login page
2024-07-05 19:02:05,557  INFO [main] ReportLoger:28 - Entered valid email on email field
2024-07-05 19:02:05,990  INFO [main] ReportLoger:28 - Entered valid password on password field
2024-07-05 19:02:08,218  INFO [main] ReportLoger:28 - Landed on home page
2024-07-05 19:02:08,230  INFO [main] Listener:74 - VerifySuccessfulLogin passed!
2024-07-05 19:02:08,230  INFO [main] Listener:77 - methodName VerifySuccessfulLogin
2024-07-05 19:02:11,543  INFO [main] Listener:60 - VerifyLoginPageLinks started!
2024-07-05 19:02:11,687  INFO [main] ReportLoger:28 - Landed on login page
2024-07-05 19:02:12,064  INFO [main] ReportLoger:28 - Entered valid email on email field
2024-07-05 19:02:12,403  INFO [main] ReportLoger:28 - Entered valid password on password field
2024-07-05 19:02:12,568  INFO [main] ReportLoger:28 - Checkbox is already enabled
2024-07-05 19:02:12,788  INFO [main] ReportLoger:28 - Clicked reset button
2024-07-05 19:02:13,405  INFO [main] ReportLoger:28 - Successfully navigated to password reset page
2024-07-05 19:02:13,614  INFO [main] ReportLoger:28 - Clicked back to login
